Серія	Дата заказа	Планована дата виготовлення	Заготовка готово	Час заготовка	Зварка готово	Час зварка	Фарбування готово	Час фарба	МДФГотово	Час МДФ	Зборка готово	Час зборка	Упаковка готово	Час упаковка	Тип	Модель	Розмір	Кількість створок
12600481	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*960	1
12600483	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600484	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600485	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600486	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600487	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600489	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600491	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600492	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600490	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600493	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600494	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600499	19.01.2026	08.04.2026	Так 		Так 		Так 		Так 		Ні 	0,4800	Ні 	0,2286	Двері стандарт С-3скла	WS41-3скла	2480*1250	2
42600580	21.04.2026	08.04.2026	Ні 	0,3000	Ні 	0,2640	Ні 	0,5760	Ні 	0,1333	Ні 	0,5760	Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL707-скло	2040*960	1
42600581	21.04.2026	08.04.2026	Ні 	0,3000	Ні 	0,2640	Ні 	0,5760	Ні 	0,1333	Ні 	0,5760	Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL707-скло	2040*960	1
32600032	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері титан	без рис	2040*960	1
32600033	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600101	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600103	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600104	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600105	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600107	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600102	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600106	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
22600417	04.02.2026	27.04.2026	Так 		Так 		Так 		Так 		Ні 	0,2720	Ні 	0,2286	Двері стандарт С-скло	рис скло	2040*1200	2
22600087	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*1200	2
22600090	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*1200	2
22600092	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*1200	2
22600093	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*1200	2
22600096	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
22600097	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
22600121	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
22600103	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
22600112	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
22600115	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
22600116	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
22600118	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
22600119	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
22600098	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
22600107	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
22600111	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
22600089	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*1200	2
22600095	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
22600099	29.01.2026	30.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600167	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600170	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600177	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600179	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600180	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600182	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600207	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600208	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600215	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600234	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600162	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600166	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ	NPL902	2040*960	1
32600178	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600185	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600192	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ	NPL902	2040*960	1
32600220	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600221	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600224	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600225	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600230	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600232	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600200	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600201	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600205	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600206	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600210	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ	NPL902	2040*960	1
32600219	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600186	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600190	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600191	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600193	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600196	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600198	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600216	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600217	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600218	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600222	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600223	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600226	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600197	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600203	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600204	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*960	1
32600227	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600228	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600231	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
32600233	12.02.2026	05.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ	NPL902	2040*1200	2
22600432	13.02.2026	06.05.2026	Так 		Так 		Так 		Так 		Ні 	0,1143	Ні 	0,2286	Двері стандарт С	рис фреза	2300*1400	2
22600429	16.02.2026	07.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт	NPL7	2040*960	1
22600431	16.02.2026	07.05.2026	Так 		Так 		Так 		Так 		Ні 	0,7200	Ні 	0,3429	Двері Garant лайт-скло 	NPL403-скло	2040*1000	2
32600305	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600307	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600310	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600291	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600295	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600300	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600301	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600302	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600304	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600270	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600274	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600278	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600283	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600284	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600290	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600258	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600259	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600260	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600262	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600266	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600267	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600249	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600251	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600252	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600253	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600256	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600257	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600303	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600306	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600308	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600309	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600243	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600245	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600293	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600294	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600296	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600297	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600298	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600299	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*1200	2
32600282	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600285	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600286	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600287	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600288	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600292	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600275	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600276	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600277	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600279	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600280	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600281	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600265	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600268	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600269	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600271	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600272	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600273	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600248	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600254	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600255	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600261	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600263	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600264	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600239	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600240	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600241	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600244	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600246	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600247	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600237	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
32600238	12.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL426-скло	2040*960	1
22600425	17.02.2026	08.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері титан	без рис	2280*960	1
32600360	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600362	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600367	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600371	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*1200	2
32600372	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*1200	2
32600373	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*1200	2
32600346	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600348	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600355	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600356	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600357	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600359	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600335	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600338	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600339	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600340	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600343	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
32600344	12.02.2026	11.05.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері Garant лайт ОМФ-скло 	NPL26-скло	2040*960	1
